id,A_majority_severity,B_majority_severity,A_majority_category,B_majority_category,A_total_issues,B_total_issues,A_expected_penalty_per_run,B_expected_penalty_per_run,delta_expected_penalty_per_run_A_minus_B,JS_severity,JS_category,JS_joint,severity_changed,category_changed,flagged,A_severity_dist,B_severity_dist,A_category_dist,B_category_dist
7,major,minor,style,style,19,18,5.0,2.166667,2.833333,0.315893,0.053161,0.410769,1,0,1,"{""major"": 0.7368421052631579, ""minor"": 0.2631578947368421}","{""major"": 0.1111111111111111, ""minor"": 0.8888888888888888}","{""accuracy"": 0.05263157894736842, ""fluency"": 0.15789473684210525, ""style"": 0.7894736842105263}","{""fluency"": 0.3333333333333333, ""style"": 0.6666666666666666}"
11,major,major,style,style,32,22,10.266667,5.5,4.766667,0.145243,0.02299,0.247529,0,0,1,"{""critical"": 0.0625, ""major"": 0.8125, ""minor"": 0.125}","{""major"": 0.5, ""minor"": 0.5}","{""accuracy"": 0.375, ""fluency"": 0.125, ""style"": 0.40625, ""terminology"": 0.09375}","{""accuracy"": 0.3181818181818182, ""fluency"": 0.045454545454545456, ""style"": 0.5454545454545454, ""terminology"": 0.09090909090909091}"
1,minor,minor,style,style,31,15,5.533333,2.583333,2.95,0.018774,0.10539,0.240763,0,0,1,"{""major"": 0.41935483870967744, ""minor"": 0.5806451612903226}","{""major"": 0.26666666666666666, ""minor"": 0.7333333333333333}","{""accuracy"": 0.03225806451612903, ""fluency"": 0.41935483870967744, ""style"": 0.4838709677419355, ""terminology"": 0.06451612903225806}","{""fluency"": 0.2, ""style"": 0.8}"
6,minor,minor,style,style,18,11,1.533333,1.25,0.283333,0.091801,0.228637,0.238634,0,0,1,"{""major"": 0.1111111111111111, ""minor"": 0.7222222222222222, ""no-issue"": 0.16666666666666666}","{""major"": 0.09090909090909091, ""minor"": 0.9090909090909091}","{""accuracy"": 0.1111111111111111, ""fluency"": 0.05555555555555555, ""no-issue"": 0.2222222222222222, ""style"": 0.6111111111111112}","{""style"": 1.0}"
10,major,major,accuracy,accuracy,38,25,13.066667,11.666667,1.4,0.089679,0.098722,0.15776,0,0,1,"{""critical"": 0.15789473684210525, ""major"": 0.6842105263157895, ""minor"": 0.15789473684210525}","{""critical"": 0.12, ""major"": 0.88}","{""accuracy"": 0.42105263157894735, ""omission"": 0.07894736842105263, ""style"": 0.39473684210526316, ""terminology"": 0.10526315789473684}","{""accuracy"": 0.48, ""mistranslation"": 0.08, ""omission"": 0.04, ""style"": 0.4}"
4,minor,minor,no-issue,fluency,14,5,0.8,0.416667,0.383333,0.075396,0.1084,0.143247,0,1,1,"{""minor"": 0.8571428571428571, ""no-issue"": 0.14285714285714285}","{""minor"": 1.0}","{""fluency"": 0.42857142857142855, ""no-issue"": 0.5714285714285714}","{""fluency"": 0.8, ""no-issue"": 0.2}"
2,minor,major,style,style,26,22,4.933333,6.166667,-1.233333,0.012141,0.003051,0.111326,1,0,1,"{""major"": 0.46153846153846156, ""minor"": 0.5384615384615384}","{""major"": 0.5909090909090909, ""minor"": 0.4090909090909091}","{""accuracy"": 0.11538461538461539, ""fluency"": 0.3076923076923077, ""style"": 0.5769230769230769}","{""accuracy"": 0.09090909090909091, ""fluency"": 0.36363636363636365, ""style"": 0.5454545454545454}"
8,major,major,style,fluency,30,22,7.666667,7.833333,-0.166667,0.041493,0.005314,0.060204,0,1,1,"{""critical"": 0.03333333333333333, ""major"": 0.6333333333333333, ""minor"": 0.3333333333333333}","{""major"": 0.8181818181818182, ""minor"": 0.18181818181818182}","{""accuracy"": 0.23333333333333334, ""fluency"": 0.36666666666666664, ""style"": 0.4}","{""accuracy"": 0.2727272727272727, ""fluency"": 0.4090909090909091, ""style"": 0.3181818181818182}"
9,major,minor,style,style,16,12,3.466667,2.666667,0.8,0.015403,0.031977,0.055579,1,0,1,"{""major"": 0.5625, ""minor"": 0.4375}","{""major"": 0.4166666666666667, ""minor"": 0.5833333333333334}","{""omission"": 0.0625, ""style"": 0.9375}","{""style"": 1.0}"
3,minor,minor,fluency,style,29,21,5.4,4.75,0.65,0.000284,0.001216,0.026759,0,1,1,"{""major"": 0.4482758620689655, ""minor"": 0.5517241379310345}","{""major"": 0.42857142857142855, ""minor"": 0.5714285714285714}","{""fluency"": 0.5172413793103449, ""style"": 0.4827586206896552}","{""fluency"": 0.47619047619047616, ""style"": 0.5238095238095238}"
5,major,major,style,style,22,20,5.466667,5.333333,0.133333,0.013296,0.005254,0.017022,0,0,0,"{""major"": 0.6818181818181818, ""minor"": 0.3181818181818182}","{""major"": 0.55, ""minor"": 0.45}","{""fluency"": 0.3181818181818182, ""style"": 0.6818181818181818}","{""fluency"": 0.4, ""style"": 0.6}"
